recno,RAdeg,DEdeg,Vmag,Bmag,B-V
,56.968939,23.941068,10.039,10.442,0.403
,56.997136,24.099091,10.106,10.667,0.561
,57.109102,24.048236,10.125,10.627,0.502
,57.29897,24.63645,10.524,11.136,0.612
,56.918592,24.364407,10.624,11.214,0.59
,56.684068,24.312751,10.634,11.007,0.373
,57.203236,24.634877,10.755,11.308,0.553
,56.916156,24.003339,10.767,12.047,1.28
,56.748393,24.384371,10.869,11.239,0.37
,57.177334,24.331352,10.903,12.172,1.269
,57.204038,24.267263,11.017,11.861,0.844
,56.96235,24.367398,11.377,12.686,1.309
,56.748442,24.331297,11.434,12.666,1.232
,57.129303,24.274166,11.442,12.574,1.132
,57.229038,24.141412,11.622,12.233,0.611
,56.827493,24.45372,11.634,12.741,1.107
,57.402339,24.295913,11.698,12.548,0.85
,56.918057,24.149172,11.717,12.749,1.032
,56.871165,24.433009,11.77,13.196,1.426
,56.91982,24.138057,11.843,12.648,0.805
,57.324994,24.414804,11.852,12.455,0.603
,57.16836,24.455582,11.979,12.553,0.574
,57.007151,24.087939,11.993,13.558,1.565
,56.929598,24.28208,11.995,12.66,0.665
,57.052388,23.999146,12.004,13.758,1.754
,57.298298,24.385442,12.03,12.621,0.591
,57.079827,24.061571,12.078,13.319,1.241
,57.298995,24.235492,12.089,12.893,0.804
,57.329905,24.253354,12.106,13.201,1.095
,57.413376,24.227474,12.133,13.309,1.176
,57.422804,24.414947,12.145,12.806,0.661
,57.439386,24.348495,12.185,13.175,0.99
,57.029566,24.474048,12.188,13.164,0.976
,57.426156,24.462823,12.196,13.165,0.969
,57.110213,24.307706,12.265,12.623,0.358
,57.020595,24.071769,12.296,13.572,1.276
,56.655381,24.343377,12.321,13.362,1.041
,57.501114,24.359572,12.354,12.951,0.597
,56.891496,24.504215,12.417,13.753,1.336
,56.898101,24.215371,12.471,13.616,1.145
,56.690121,24.34167,12.484,13.225,0.741
,56.813747,24.19314,12.486,13.153,0.667
,57.477365,24.341616,12.581,13.249,0.668
,57.310597,24.478806,12.624,13.166,0.542
,57.226619,24.545358,12.657,13.311,0.654
,57.367106,24.310037,12.679,13.437,0.758
,57.038136,24.246338,12.747,13.452,0.705
,57.288881,24.143675,12.804,12.605,-0.199
,56.825307,24.39061,12.807,13.916,1.109
,57.069995,24.293182,12.951,13.627,0.676
,56.83717,24.080202,13.021,14.013,0.992
,57.191471,24.328803,13.052,13.655,0.603
,56.681343,24.257095,13.057,13.96,0.903
,57.126073,24.430285,13.074,13.614,0.54
,57.136878,24.657721,13.102,13.647,0.545
,57.180392,24.323251,13.131,14.42,1.289
,57.152949,24.21999,13.153,13.648,0.495
,57.46684,24.303048,13.154,13.72,0.566
,57.141299,24.079632,13.275,14.448,1.173
,57.118336,24.092134,13.285,14.073,0.788
,56.666024,24.351362,13.314,14.079,0.765
,57.400756,24.259352,13.315,13.898,0.583
,57.549341,24.296018,13.316,14.443,1.127
,56.63111,24.333371,13.374,13.994,0.62
,57.214288,24.29098,13.426,14.19,0.764
,57.37647,24.472602,13.436,14.257,0.821
,57.275184,24.398098,13.45,14.386,0.936
,56.794749,24.436014,13.547,14.336,0.789
,56.922719,23.971782,13.549,14.646,1.097
,56.991575,23.990218,13.55,14.206,0.656
,56.810633,24.118204,13.555,14.057,0.502
,56.631937,24.323669,13.557,14.276,0.719
,56.988457,24.329831,13.609,14.361,0.752
,57.422455,24.433249,13.612,14.125,0.513
,57.180225,24.483258,13.62,14.24,0.62
,56.7559,24.373246,13.624,14.701,1.077
,57.245503,24.267875,13.627,14.707,1.08
,57.517636,24.330786,13.655,14.817,1.162
,57.075318,24.096783,13.685,14.982,1.297
,57.286344,24.323507,13.69,14.519,0.829
,57.374983,24.27042,13.698,14.313,0.615
,57.33645,24.265412,13.713,14.429,0.716
,57.402556,24.504272,13.72,14.242,0.522
,57.362101,24.530385,13.725,14.751,1.026
,56.947756,23.907597,13.747,14.665,0.918
,57.192229,24.149016,13.796,14.543,0.747
,57.37568,24.384628,13.819,14.396,0.577
,56.983093,24.526699,13.846,14.796,0.95
,56.885569,23.966704,13.858,14.458,0.6
,56.980952,24.302119,13.885,14.67,0.785
